28.01.2013  15:39:56   þ LBA Warning: 242286465
28.01.2013  15:39:57   þ LBA Warning: 242286720
28.01.2013  15:39:57   þ LBA Warning: 242287485
28.01.2013  15:39:57   þ LBA warning: 242287740
28.01.2013  15:39:58   þ LBA warning: 242288505
28.01.2013  15:39:59   þ LBA warning: 242289270
28.01.2013  15:39:59   þ LBA Warning: 242290290
28.01.2013  15:40:00   þ LBA Warning: 242291310
28.01.2013  15:40:00   þ LBA warning: 242293095
28.01.2013  15:40:01   þ LBA warning: 242293350
28.01.2013  15:40:02   þ LBA Warning: 242294115
28.01.2013  15:40:04   þ LBA warning: 242295900
28.01.2013  15:40:05   þ LBA Warning: 242296920
28.01.2013  15:40:05   þ LBA warning: 242297685
28.01.2013  15:40:06   þ LBA warning: 242298705
28.01.2013  15:40:07   þ LBA Warning: 242299725
28.01.2013  15:40:08   þ LBA warning: 242299980
28.01.2013  15:40:09   þ LBA Warning: 242300745
28.01.2013  15:40:09   þ LBA Warning: 242301000
28.01.2013  15:40:09   þ LBA Warning: 242301510
28.01.2013  15:40:09   þ LBA Warning: 242304315
28.01.2013  15:40:10   þ LBA Warning: 242309160
28.01.2013  15:40:12   þ LBA warning: 242312985
28.01.2013  15:40:17   þ LBA Error: 242314854
28.01.2013  15:40:17   þ LBA Warning: 242315535
28.01.2013  15:40:19   þ LBA warning: 242315790
28.01.2013  15:40:20   þ LBA Warning: 242421105
28.01.2013  15:40:22   þ LBA warning: 242421360
28.01.2013  15:40:22   þ LBA Warning: 242428755
28.01.2013  15:40:23   þ LBA Warning: 242429775
28.01.2013  15:40:24   þ LBA warning: 242430795
28.01.2013  15:40:24   þ LBA Warning: 242432580
28.01.2013  15:40:25   þ LBA Warning: 242435385
28.01.2013  15:40:28   þ LBA warning: 242442015
28.01.2013  15:40:29   þ LBA Warning: 242444055
28.01.2013  15:40:29   þ LBA Warning: 242447625
28.01.2013  15:40:30   þ LBA Warning: 242450685
28.01.2013  15:40:34   þ LBA Error: 242451588
28.01.2013  15:40:35   þ LBA warning: 242454000
28.01.2013  15:40:37   þ LBA warning: 242454255
28.01.2013  15:40:38   þ LBA Warning: 242465475
28.01.2013  15:40:39   þ LBA warning: 242466495
28.01.2013  15:40:40   þ LBA warning: 242467260
28.01.2013  15:40:41   þ LBA warning: 242467515
28.01.2013  15:40:41   þ LBA Warning: 242473890
28.01.2013  15:40:42   þ LBA Warning: 242475930
28.01.2013  15:40:43   þ LBA warning: 242476185
28.01.2013  15:40:43   þ LBA Warning: 242478735
28.01.2013  15:40:44   þ LBA Warning: 242478990
28.01.2013  15:40:44   þ LBA Warning: 242479500
28.01.2013  15:40:44   þ LBA Warning: 242480520
28.01.2013  15:40:44   þ LBA Warning: 242480775
28.01.2013  15:40:45   þ LBA warning: 242482560
28.01.2013  15:40:47   þ LBA warning: 242483580
28.01.2013  15:40:47   þ LBA Warning: 242484345
28.01.2013  15:40:50   þ LBA warning: 242491740
28.01.2013  15:40:51   þ LBA Warning: 242491995
28.01.2013  15:40:51   þ LBA warning: 242492760
28.01.2013  15:40:52   þ LBA warning: 242494800
28.01.2013  15:40:54   þ LBA warning: 242496585
28.01.2013  15:40:54   þ LBA Warning: 242498370
28.01.2013  15:40:55   þ LBA Warning: 242501430
28.01.2013  15:40:59   þ LBA warning: 242503215
28.01.2013  15:40:59   þ LBA Warning: 242505000
28.01.2013  15:40:59   þ LBA Warning: 242506020
28.01.2013  15:41:00   þ LBA Warning: 242506785
28.01.2013  15:41:01   þ LBA warning: 242511630
28.01.2013  15:41:01   þ LBA Warning: 242512650
28.01.2013  15:41:02   þ LBA Warning: 242513415
28.01.2013  15:41:03   þ LBA warning: 242513670
28.01.2013  15:41:06   þ LBA warning: 242518260
28.01.2013  15:41:08   þ LBA warning: 242521065
28.01.2013  15:41:08   þ LBA Warning: 242523870
28.01.2013  15:41:10   þ LBA Warning: 242630460
28.01.2013  15:41:10   þ LBA Warning: 242630715
28.01.2013  15:41:11   þ LBA warning: 242632245
28.01.2013  15:41:12   þ LBA warning: 242632500
28.01.2013  15:41:13   þ LBA warning: 242633520
28.01.2013  15:41:13   þ LBA Warning: 242634285
28.01.2013  15:41:13   þ LBA Warning: 242636070
28.01.2013  15:41:14   þ LBA Warning: 242636325
28.01.2013  15:41:15   þ LBA warning: 242636835
28.01.2013  15:41:16   þ LBA warning: 242637090
28.01.2013  15:41:17   þ LBA warning: 242643465
28.01.2013  15:41:18   þ LBA warning: 242644485
28.01.2013  15:41:19   þ LBA Warning: 242647290
28.01.2013  15:41:19   þ LBA Warning: 242647545
28.01.2013  15:41:20   þ LBA Warning: 242650095
28.01.2013  15:41:20   þ LBA Warning: 242650350
28.01.2013  15:41:20   þ LBA Warning: 242652135
28.01.2013  15:41:20   þ LBA Warning: 242652390
28.01.2013  15:41:21   þ LBA Warning: 242653920
28.01.2013  15:41:22   þ LBA warning: 242658765
28.01.2013  15:41:22   þ LBA Warning: 242660550
28.01.2013  15:41:22   þ LBA Warning: 242661570
28.01.2013  15:41:22   þ LBA Warning: 242662335
28.01.2013  15:41:23   þ LBA Warning: 242663355
28.01.2013  15:41:23   þ LBA Warning: 242664375
28.01.2013  15:41:24   þ LBA Warning: 242672025
28.01.2013  15:41:25   þ LBA Warning: 242674575
28.01.2013  15:41:25   þ LBA Warning: 242675595
28.01.2013  15:41:25   þ LBA Warning: 242680440
28.01.2013  15:41:26   þ LBA Warning: 242685030
28.01.2013  15:41:27   þ LBA Warning: 242686815
28.01.2013  15:41:27   þ LBA Warning: 242688855
28.01.2013  15:41:27   þ LBA Warning: 242689875
28.01.2013  15:41:28   þ LBA Warning: 242692680
28.01.2013  15:41:29   þ LBA warning: 242693445
28.01.2013  15:41:30   þ LBA Warning: 242693700
28.01.2013  15:41:30   þ LBA warning: 242694465
